#,Designator,Name,Manufacturer 1,Manufacturer Part Number 1,Description,Quantity
1,"C1, C3, C4, C5, C6, C9",GRM21BR61E106KA73K,Murata,GRM21BR61E106KA73K,0805 25 V 10 uF ±20% Tolerance X5R Monolithic Ceramic Chip Capacitor,6
2,"C2, C10",CL21A226KOQNNNE,Samsung,CL21A226MOQNNNE,CL21 Series 0805 22 uF 16 V ±10% Tolerance X5R Multilayer Ceramic Capacitor,2
3,"C7, C22, C23",0402YA100KAT2A,Samsung,CL05C100JB5NNNC,0402 10 pF 16 V ±10 % Tolerance C0G/NP0 SMT Multilayer Ceramic Capacitor,3
4,"C8, C12, C13, C14, C15, C16, C19, C20, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C42",UMK105B7104KV-FR,Taiyo Yuden,UMK105B7104KV-FR,CAP CER 0.1uF 10% 50V X7R 0402,22
5,"C11, C21",CL21A475KBQNNNE,Samsung,CL21A475KBQNNNE,CAP CER 4.7UF 50V X5R 0805,2
6,C17,C1005X5R1E105K050BC,Samsung,CL05A105KA5NQNC,CAP CER 1 µF 25V 10% X5R 0402,1
7,C18,8.85012E+11,Yageo,CC0402KRX7R8BB103,CAP CER 0.01µF 25V 10% X7R 0402,1
8,"C24, C25",C1005C0G1H020B050BA,TDK,C1005C0G1H020B050BA,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 5% +Tol, 5% -Tol, C0G, 30ppm/Cel TC, 0.000002uF, Surface Mount, 0402",2
9,C26,CC0402KRX7R9BB101,Yageo,CC0402KRX7R9BB101,0402 100 pF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor,1
10,"C40, C41",CC0805KRX7R9BB332,Yageo,CC0805KRX7R9BB332,Cap Ceramic 0.0033uF 50V X7R 10% SMD 0805 125C T/R,2
11,"D1, D2, D5, D7",B5819W,MCC,B5819W-TP,"Schottky Barrier Rectifier, 40 V, 1 A, -65 to 125 degC, 2-Pin SOD123, RoHS, Tape and Reel",4
12,D3,SMAZ5V1-TP,MCC,SMAZ5V1-TP,SMAZ5V1 Series 5.1 V ±5% 1 W Surface Mount Zener Diode - DO-214AC (SMAJ),1
13,D4,APT1608LVBC/D,Kingbright,APT1608LVBC/D,LED BLUE CLEAR 0603 SMD,1
14,D6,SML-LX0603SYW-TR,Lumex,SML-LX0603SYW-TR,LED YELLOW DIFFUSED 0603 SMD,1
15,FLT1,MLPF-WB-01E3,STMicroelectronics,MLPF-WB-01E3,RF Wireless Misc 2.4 GHz Matched filter companion chip for STM32WB,1
16,"H1, H2, H3",215298-5,TE Connectivity AMP,215298-5,"Board Connector, 5 Contact(s), 1 Row(s), Female, Straight, 0.1 inch Pitch, Solder Terminal, Black Insulator, Receptacle",3
